z,log10 L_bol [erg s^-1],log10 Phi [ cMpc^-1 dex^-1],lower uncertainity (log10),upper uncertainity (log10),Source
0,42.75420304863007,-3.129824628199719,0.25031230961547957,0.25031230961547957,Shen2020
0,43.20993027759589,-3.5500143820230883,0.31996486825163006,0.31996486825163006,Shen2020
0,43.677182244298436,-4.352135911826102,0.6188206779961034,0.6188206779961034,Shen2020
0,44.15505901753814,-3.972836813556931,0.18987611276952765,0.18987611276952765,Shen2020
0,44.64224518246289,-4.1596242276152084,0.1319556044577077,0.1319556044577077,Shen2020
0,45.1372119049694,-4.994484701655077,0.19007088346345902,0.19007088346345902,Shen2020
0,45.63841716862839,-5.394423093988594,0.2225006803865257,0.2225006803865257,Shen2020
0,46.14445414165593,-6.246211836267805,0.659551741635348,0.659551741635348,Shen2020
0,42.31034707765829,-3.252892158720222,0.30494419320875954,0.30494419320875954,Shen2020
0,42.75420304863007,-3.360533400391574,0.18192430460952402,0.18192430460952402,Shen2020
0,43.20993027759589,-3.5151563214809864,0.14024294528440984,0.14024294528440984,Shen2020
0,43.677182244298436,-3.5519745673125795,0.1176624924827283,0.1176624924827283,Shen2020
0,44.15505901753814,-4.015996190277848,0.1850030225280992,0.1850030225280992,Shen2020
0,44.64224518246289,-4.194025432116066,0.2230223337912276,0.2230223337912276,Shen2020
0,45.1372119049694,-4.401888694878831,0.17876533152112173,0.17876533152112173,Shen2020
0,45.63841716862839,-4.963926539690964,0.14688379292125497,0.14688379292125497,Shen2020
0,46.14445414165593,-5.535392005418044,0.11783999332708704,0.11783999332708704,Shen2020
0,46.65413082661796,-6.646252783069964,0.24632797633704473,0.24632797633704473,Shen2020
0,47.16649111572818,-6.943604080249905,0.33034509938920986,0.33034509938920986,Shen2020
0,39.155157850381755,-0.9615727265310272,0.5865677600864863,0.5865677600864863,Shen2020
0,39.40888699126564,-1.1560919712914957,0.4312778485681299,0.4312778485681299,Shen2020
0,39.664330054663125,-1.2672360292550806,0.29796803557022844,0.29796803557022844,Shen2020
0,39.92175368087171,-1.363353895245702,0.22595692612000418,0.22595692612000418,Shen2020
0,40.18145484516228,-1.5197423181152345,0.16409678518627258,0.16409678518627258,Shen2020
0,40.4437598757577,-1.5712495114536247,0.13431139374182055,0.13431139374182055,Shen2020
0,40.70902138091425,-1.7797342995119996,0.114390314498771,0.114390314498771,Shen2020
0,40.97761240726989,-2.042975734286581,0.11538600913106677,0.11538600913106677,Shen2020
0,41.24991716740588,-2.2381061182188233,0.11203062925085037,0.11203062925085037,Shen2020
0,41.526317840847454,-2.5003292770710996,0.1141276922974923,0.1141276922974923,Shen2020
